file,success,duration_sec,error_msg
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0060.DATA,True,1130.1087136268616,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0066.DATA,True,1084.4707634449005,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0064.DATA,True,1123.8091847896576,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0061.DATA,True,1144.4568920135498,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0067.DATA,True,1099.1615438461304,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0071.DATA,True,1078.258635044098,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0069.DATA,True,1117.4901311397552,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0068.DATA,True,1131.810742855072,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0070.DATA,True,1189.2769532203674,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0072.DATA,True,1062.0680632591248,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0073.DATA,True,1058.1658420562744,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0075.DATA,True,1073.3939368724823,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0074.DATA,True,1096.6093482971191,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0077.DATA,True,1091.3604414463043,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0076.DATA,True,1097.5371208190918,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0080.DATA,True,1082.94038438797,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0088.DATA,True,1045.2340638637543,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0079.DATA,True,1115.535692691803,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0085.DATA,True,1075.4399445056915,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0084.DATA,True,1097.2885661125183,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0086.DATA,True,1109.2802815437317,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0089.DATA,True,1078.483571767807,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0083.DATA,True,1129.5902304649353,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0081.DATA,True,1151.6593492031097,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0078.DATA,True,1181.7409892082214,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0087.DATA,True,1124.0075056552887,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0090.DATA,True,1111.904633283615,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0094.DATA,True,1068.873647928238,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0082.DATA,True,1201.3852677345276,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0093.DATA,True,1099.94726395607,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0092.DATA,True,1123.9337186813354,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0091.DATA,True,1179.265743970871,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0095.DATA,True,1129.6361637115479,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0098.DATA,True,1040.023777961731,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0097.DATA,True,1081.4034090042114,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0096.DATA,True,1122.3757586479187,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0100.DATA,True,1093.5817999839783,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0101.DATA,True,1094.3732752799988,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0102.DATA,True,1071.4177823066711,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0099.DATA,True,1125.7532124519348,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0108.DATA,True,1049.2280869483948,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0105.DATA,True,1095.2033340930939,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0104.DATA,True,1106.0381634235382,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0110.DATA,True,1069.9638860225677,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0103.DATA,True,1133.3703072071075,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0106.DATA,True,1111.9368302822113,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0107.DATA,True,1105.5276896953583,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0115.DATA,True,1056.2863020896912,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0111.DATA,True,1108.4011023044586,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0112.DATA,True,1107.0306375026703,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0109.DATA,True,1132.654417514801,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0114.DATA,True,1121.9777734279633,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0116.DATA,True,1125.1697788238525,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0117.DATA,True,1146.2095124721527,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0113.DATA,True,1192.7864475250244,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0118.DATA,True,1122.5846831798553,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0119.DATA,True,1127.6948819160461,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0120.DATA,True,1097.5742280483246,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0121.DATA,True,1130.6069886684418,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0122.DATA,True,1127.3836839199066,
NORNE_ATW2013_DOE_TOP15_EXTENDED_LHS_0125.DATA,True,1061.9202868938446,
